,Details of Solar Generation ( 214.72 KWp ),,,,,,,,,,,,,
,S.no,,,Month,,,Units/kwh,,,CUF %,,,Days,
1,,,,Apr 24,,31930.79,,,20.65,,,30,,
2,,,,May 24,,29141.32,,,18.24,,,31,,
3,,,,Jun 24,,23965.33,,,15.50,,,30,,
4,,,,Jul 24,,23100.56,,,14.46,,,31,,
5,,,,Aug 24,,22566,,,14.13,,,31,,
6,,,,Sept 24,,26771,,,17.32,,,30,,
7,,,,Oct 24,,17914.9,,,11.21,,,31,,
8,,,Nov-24,,,19744.1,,,12.77,,,30,,
9,,,,Dec 24,,21897.85,,,13.71,,,31,,
10,,,,Jan 25,,24882.15,,,15.58,,,31,,
11,,,,Feb 25,,34474,,,23.89,,,28,,
12,,,,Mar 25,,32802,,,20.53,,,31,,
,,,Total units:-,,,309190,,,16.44,,,365,,
,,,Total MU's,,,0.30919,,,,,,,,
