,Assumptions and Input parameters,,,,,,,
,Cost parameters,,,Unit,,,Value,
Existing T8 (36 WX2) need to be replaced,,,Number,,,754,,
Cost of LED based tube lights (18 Wx2),,,INR/ piece,,,1200,,
Installation Cost,,,% of capital cost,,,5,,
,Operating parameters,,,Unit,,,Value,
Number of running hours,,,Per day,,,6,,
Number of operating days,,,Per year,,,250,,
Average life of LED based tube lights (18 Wx2),,,Hours,,,"50,000",,
Average life of LED based tube lights (18 Wx2),,,Years,,,8,,
Average electricity tariff,,,INR/kVAh,,,8,,
,Energy and financial savings,,,Unit,,,Value,
,Power consumption of T8 tube lights (36WX2),,,W/piece,,,80,
,Power consumption of LED tube lights (18W),,,W/piece,,,36,
,Energy savings,,,W/piece,,,44,
,Annual energy saving,,,kWh/year,,,49764,
,Annual monetary saving,,,INR/year,,,398112,
,Total investment requirement,,,INR,,,950040,
,Simple payback period,,,Months,,,29,
,Internal rate of return,,,%,,,35.97%,
