,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Total electricity,,,Total electricity,,,,
,Sr.,,,,,,,,,Power,,,,,,,,,Total Payable,
,,,,Billing Month,,,MDI,,,,,,consumed,,,consumption,,,,
,No.,,,,,,,,,factor,,,,,,,,,Amount,
,,,,,,,,,,,,,(kWh),,,(kVAh),,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.988,,,449730,,,455250,,,"3,590,778",,
,1,,,Apr 24,,,2294.70,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.986,,,562770,,,570930,,,"4,653,235",,
,2,,,May 24,,,2471.70,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.989,,,482790,,,488070,,,"4,030,174",,
,3,,,Jun 24,,,2141.70,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.987,,,492360,,,499050,,,"5,123,809",,
,4,,,Jul 24,,,2808.90,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.977,,,579960,,,593460,,,"5,982,198",,
,5,,,Aug 24,,,2931.90,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.984,,,526800,,,535590,,,"4,378,020",,
,6,,,Sept 24,,,2577.60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.987,,,408450,,,413730,,,"3,497,535",,
,7,,,Oct 24,,,2564.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.000,,,217560,,,217650,,,"2,042,259",,
,8,,,Nov-24,,,1153.80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.000,,,176640,,,176580,,,"1,754,636",,
,9,,,Dec 24,,,475.80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.000,,,178710,,,178740,,,"1,770,486",,
,10,,,Jan 25,,,508.80,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1.000,,,166980,,,166980,,,"1,639,933",,
,11,,,Feb 25,,,506.10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.996,,,220860,,,221640,,,"2,085,899",,
,12,,,Mar 25,,,1659.90,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Total,,,,,,,,,4463610.00,,,4517670.00,,,40548962.1,
,,,,Avg.,,,1841.3,,,0.991,,,371967.50,,,376472.50,,,3379080.2,
,,,,Max,,,2931.9,,,1.000,,,579960.00,,,593460.00,,,5982197.9,
,,,,Min,,,475.8,,,0.977,,,166980.00,,,166980.00,,,1639933.2,
