,APFC PANEL-1 (Sub-station-1),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Measured,,,,,,,,,,
,,,,,,Rated,,,,,,,,,,,,,
,,,,,,,,,Measured-,,,,,,,,,,
,Sr.,,"Capacity
(kVAr)",,,Current,,,,,,Measured-,,,Measured-,,,,
,,,,,,,,,R,,,,,,,,,,
,No.,,,,,(amp),,,,,,Y,,,B,,,Remark,
,,,,,,,,,,,,,,,,,,,
CB-1,,,25,,,32.8,,,27.80,,,26.90,,,27.10,,,OK,
CB-2,,,25,,,32.8,,,27.60,,,27.40,,,27.30,,,OK,
CB-3,,,25,,,32.8,,,28.10,,,27.90,,,27.60,,,OK,
CB-4,,,25,,,32.8,,,2.10,,,23.60,,,23.40,,,De-rated,
CB-5,,,15,,,19.7,,,0.00,,,0.00,,,0.00,,,Not working,
CB-6,,,10,,,13.1,,,6.40,,,6.30,,,6.10,,,De-rated,
Total,,,125,,,,,,,,,,,,,,,,
