STEP 7,"Obtain target Lux/W/M2 lux for type of the type of interior/
application and RI (2)","Target Lux/W/m2 =
36"
STEP 8,Calculate Installed Load Efficacy Ratio (6 ÷ 7),ILER = 2.02
