,,,,,,,,
,Assumptions and Input parameters,,,,,,,
,,,,,,,,
,Cost parameters,,,Unit,,,Value,
,Existing standard ceiling fans need,,,,,,,
,,,,Nos.,,,2564,
,to be replaced,,,,,,,
,,,,,,,,
,Cost of new BLDC fan,,,INR/ piece,,,2000,
,Installation Cost,,,% of capital cost,,,5,
,Operating parameters,,,,,,,
,Number of running hours,,,Per day,,,10,
,Number of operating days,,,Per year,,,300,
,Average electricity tariff,,,INR/kWh,,,8,
,Energy and financial savings,,,,,,,
,Power consumption of standard,,,,,,,
,,,,W/piece,,,70,
,ceiling fan,,,,,,,
,,,,,,,,
,,,,,,,,
,Power consumption of BLDC fan,,,W/piece,,,27,
,,,,,,,,
,Energy savings,,,W/piece,,,43,
,Annual energy saving,,,kWh/year,,,129000,
,Annual monetary saving,,,INR/year,,,1032000,
,Total investment requirement,,,INR,,,5384400,
,Simple payback period,,,Months,,,62.61,
