,Assumptions and Input parameters,,,,,,,
,Cost parameters,,,Unit,,,Value,
Existing T5 need to be replaced (28W),,,Number,,,266,,
Cost of LED based light (18W),,,INR/ piece,,,600,,
Installation Cost,,,% of capital cost,,,5,,
,Operating parameters,,,Unit,,,Value,
Number of running hours,,,Per day,,,6,,
Number of operating days,,,Per year,,,250,,
Average life of LED based tube lights (18 W),,,Hours,,,"50,000",,
Average life of LED based tube lights (18 W),,,Years,,,8,,
Average electricity tariff,,,INR/kVAh,,,8,,
,Energy and financial savings,,,Unit,,,Value,
,Power consumption of T8 tube lights (28W),,,W/piece,,,30,
,Power consumption of LED tube lights (18W),,,W/piece,,,18,
,Energy savings,,,W/piece,,,12,
,Annual energy saving,,,kWh/year,,,4788.00,
,Annual monetary saving,,,INR/year,,,38304,
,Total investment requirement,,,INR,,,167580,
,Simple payback period,,,Months,,,53,
,Internal rate of return,,,%,,,15.85%,
