,APFC PANEL-3 (Sub station-1),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Measured,,,,,,,,,,
,,,,,,,Rated,,,,,,,,,,,,,
,Sr.,,,Capacity,,,Current,,,Measured-,,,Measured-,,,Measured-,,,,
,No.,,,(kVAr),,,(amp),,,R,,,Y,,,B,,,Remark,
CB-1,,,25,,,,32.8,,,10.00,,,0.00,,,11.00,,,De-rated,
CB-2,,,25,,,,32.8,,,0.00,,,0.00,,,0.00,,,Not working,
CB-3,,,25,,,,32.8,,,30.00,,,30.50,,,30.20,,,OK,
CB-4,,,25,,,,32.8,,,0.00,,,0.00,,,0.00,,,Not working,
CB-5,,,25,,,,32.8,,,0.00,,,0.00,,,0.00,,,Not working,
CB-6,,,10,,,,13.1,,,12.2,,,12.11,,,11.95,,,OK,
CB-7,,,10,,,,13.1,,,10.69,,,11.17,,,11.32,,,OK,
CB-8,,,5,,,,6.6,,,0.00,,,0.00,,,0.00,,,Not working,
Total,,,150,,,,,,,,,,,,,,,,,
