,Assumptions and Input parameters,,,,,,,
,Cost parameters,,,Unit,,,Value,
Existing T8 (36W) need to be replaced,,,Number,,,1661,,
Cost of LED based tube lights (18 W),,,INR/ piece,,,600,,
Installation Cost,,,% of capital cost,,,5,,
,Operating parameters,,,Unit,,,Value,
Number of running hours,,,Per day,,,6,,
Number of operating days,,,Per year,,,250,,
Average life of LED based lights 18W,,,Hours,,,"50,000",,
Average life of LED based lights 18W,,,Years,,,8,,
Average electricity tariff,,,INR/kVAh,,,8,,
,Energy and financial savings,,,Unit,,,Value,
,Power consumption of T8 tube lights (36W),,,W/piece,,,40,
,Power consumption of LED lights 18W,,,W/piece,,,18,
,Energy savings,,,W/piece,,,22,
,Annual energy saving,,,kWh/year,,,54813,
,Annual monetary saving,,,INR/year,,,438504,
,Total investment requirement,,,INR,,,1046430,
,Simple payback period,,,Months,,,29,
,,,,,,,35.97%,
,Internal rate of return,,,%,,,,
