,APFC PANEL-1 (Sub station-2),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Measured,,,,,,,,,,
,,,,,,,Rated,,,,,,,,,,,,,
,Sr.,,,Capacity,,,Current,,,Measured-,,,Measured-,,,Measured-,,,,
,No.,,,(kVAr),,,(amp),,,R,,,Y,,,B,,,Remark,
CB-1,,,25,,,,32.8,,,31.11,,,30.68,,,30.71,,,OK,
CB-2,,,25,,,,32.8,,,31.33,,,30.64,,,31.32,,,OK,
CB-3,,,25,,,,32.8,,,30.92,,,30.17,,,30.82,,,OK,
CB-4,,,25,,,,32.8,,,30.99,,,30.60,,,31.19,,,OK,
CB-5,,,25,,,,32.8,,,31.08,,,30.49,,,31.23,,,OK,
CB-6,,,25,,,,32.8,,,31.4,,,30.55,,,31.62,,,OK,
CB-7,,,25,,,,32.8,,,31.16,,,30.68,,,31.49,,,OK,
CB-8,,,25,,,,32.8,,,30.97,,,30.53,,,31.08,,,OK,
Total,,,200,,,,,,,,,,,,,,,,,
