,Assumptions and Input parameters,,,,,,,
,Cost parameters,,,Unit,,,Value,
Existing CFL need to be replaced,,,Number,,,749,,
Cost of LED based lights (15 W),,,INR/ piece,,,500,,
Installation Cost,,,% of capital cost,,,5,,
,Operating parameters,,,Unit,,,Value,
Number of running hours,,,Per day,,,6,,
Number of operating days,,,Per year,,,250,,
Average life of LED based Light (15 W),,,Hours,,,"50,000",,
Average life of LED based Light (15 W),,,Years,,,8,,
Average electricity tariff,,,INR/kVAh,,,8,,
,Energy and financial savings,,,Unit,,,Value,
,Power consumption of CFL lights (18WX2),,,W/piece,,,36,
,Power consumption of LED lights (15 W),,,W/piece,,,15,
,Energy savings,,,W/piece,,,21,
,Annual energy saving,,,kWh/year,,,23593.50,
,Annual monetary saving,,,INR/year,,,188748,
,Total investment requirement,,,INR,,,393225,
,Simple payback period,,,Months,,,25,
,Internal rate of return,,,%,,,41.89%,
