,Assumptions and Input parameters,,,,,,,
,Cost parameters,,,Unit,,,Value,
Existing T5 (14WX4) fitting 2'X2' need to be replaced,,,Number,,,206,,
Cost of LED based light (28 W),,,INR/ piece,,,2800,,
Installation Cost,,,% of capital cost,,,5,,
,Operating parameters,,,Unit,,,Value,
Number of running hours,,,Per day,,,6,,
Number of operating days,,,Per year,,,250,,
Average life of LED based Light 28W (2'X2'),,,Hours,,,"50,000",,
Average life of LED based Light 28W (2'X2'),,,Years,,,8,,
Average electricity tariff,,,INR/kVAh,,,8,,
,Energy and financial savings,,,Unit,,,Value,
,Power consumption of T5 tube lights (14WX4) fitting 2'X2',,,W/piece,,,60,
,Power consumption of LED lights 28W (2'X2'),,,W/piece,,,28,
,Energy savings,,,W/piece,,,32,
,Annual energy saving,,,kWh/year,,,9888.00,
,Annual monetary saving,,,INR/year,,,79104,
,Total investment requirement,,,INR,,,605640,
,Simple payback period,,,Months,,,92,
,Internal rate of return,,,%,,,3.05%,
