,Transformer Load Profile,,,,,,,,,,,,,
,,,,TR-1,,,TR-2,,,TR-3,,,TR-1,
,,,,,,,,,,,,,,
,,,,(1500KVA),,,(1250KVA),,,(1000 KVA),,,(1250 KVA),
,,,,,,,,,,,,,,
Voltage Phase1,,,,405.4,,,402,,,412.2,,,404.9,
Voltage Phase2,,,,403,,,402,,,408.1,,,404.5,
Voltage Phase3,,,,403.4,,,402.5,,,408.9,,,408,
,,,,,,,,,,,,,,
THD Phase1,,,,2.3,,,2.2,,,2.3,,,2.4,
THD Phase2,,,,1.9,,,2.4,,,2.5,,,2.3,
THD Phase3,,,,2.1,,,2.2,,,2.3,,,2.5,
,,,,,,,,,,,,,,
Armps Phase1,,,,589.9,,,260,,,139,,,395.8,
Armps Phase2,,,,509.3,,,180,,,125,,,362.9,
,Armps Phase3,,,535,,,210,,,142,,,325.4,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,THD Phase1,,,5.6,,,5.1,,,7.2,,,7.5,
,THD Phase2,,6.1,,,7.7,,,9.8,,,6.9,,
,THD Phase3,,4.8,,,5.6,,,10.3,,,7.2,,
,,,,,,,,,,,,,,
,Power (kW),,374.4,,,148.3,,,93.96,,,255.85,,
,,,,,,,,,,,,,,
,Apparent Power (kVA),,380.4,,,151.84,,,95.24,,,256.56,,
,,,,,,,,,,,,,,
,Power Factor,,0.984,,,0.977,,,0.986,,,0.997,,
