,Fixture,,,CHILLER -1,,,CHILLER -2,
,TR,,190,,,190,,
,Make,,Carrier,,,Carrier,,
,Model,,30 HXC,,,30 HXC,,
,Type,,Screw,,,Screw,,
,Cooling,,Water Cooled,,,Water Cooled,,
,Refrigerant,,R134a,,,R134a,,
,MFG,,2010,,,2010,,
