,,,,,,,Total electricity,,,,,,,,,Net,,,Monetory,
,Sr.,,,Billing,,,consumption,,,Power,,,KVAh if pf is,,,reduction,,,benfit @,
,No.,,,Month To,,,(kVAh),,,factor,,,0.999,,,in kvah,,,6.65,
,1,,,Apr 24,,455250,,,0.988,,,450180.18,,,5069.82,,,33714.30,,
,2,,,May 24,,570930,,,0.986,,,563333.33,,,7596.67,,,50517.83,,
,3,,,Jun 24,,488070,,,0.989,,,483273.27,,,4796.73,,,31898.23,,
,4,,,Jul 24,,499050,,,0.987,,,492852.85,,,6197.15,,,41211.03,,
,5,,,Aug 24,,593460,,,0.977,,,580540.54,,,12919.46,,,85914.41,,
,6,,,Sept 24,,535590,,,0.984,,,527327.33,,,8262.67,,,54946.77,,
,7,,,Oct 24,,413730,,,0.987,,,408858.86,,,4871.14,,,32393.09,,
,8,,Nov-24,,,217650,,,1.000,,,217777.78,,,-127.78,,,-849.72,,
,9,,,Dec 24,,176580,,,1.000,,,176816.82,,,-236.82,,,-1574.83,,
,10,,,Jan 25,,178740,,,1.000,,,178888.89,,,-148.89,,,-990.11,,
,11,,,Feb 25,,166980,,,1.000,,,167147.15,,,-167.15,,,-1111.53,,
,12,,,Mar 25,,221640,,,0.996,,,221081.08,,,558.92,,,3716.81,,
,,,,Total,,,4517670.00,,,,,4468078.08,,,49591.92,,,329786.28,,
,,,,Avg.,,,376472.50,,,0.991,,,,,,,,,,
,,,,Max,,,593460.00,,,1.000,,,,,,,,,,
,,,,Min,,,166980.00,,,0.977,,,,,,,,,,
