,APFC PANEL-3 (Sub station-2),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Measured,,,,,,,,,,
,,,,,,,Rated,,,,,,,,,,,,,
,Sr.,,,Capacity,,,Current,,,Measured-,,,Measured-,,,Measured-,,,,
,No.,,,(kVAr),,,(amp),,,R,,,Y,,,B,,,Remark,
CB-1,,,25,,,,32.8,,,0.00,,,0.00,,,0.00,,,Not working,
CB-2,,,25,,,,32.8,,,35.56,,,31.44,,,33.94,,,OK,
CB-3,,,25,,,,32.8,,,34.38,,,34.58,,,33.48,,,OK,
CB-4,,,25,,,,32.8,,,32.34,,,32.89,,,33.18,,,OK,
CB-5,,,25,,,,32.8,,,32.88,,,32.16,,,33.10,,,OK,
CB-6,,,25,,,,32.8,,,0.0,,,0.0,,,0.0,,,Not working,
CB-7,,,25,,,,32.8,,,0.00,,,0.00,,,0.00,,,Not working,
CB-8,,,25,,,,32.8,,,0.00,,,0.00,,,0.00,,,Not working,
Total,,,200,,,,,,,,,,,,,,,,,
